month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2025-03,표준형_운전자,9228278,0.0941879825150422,8724005.333333334,439927483,-0.01412138319014845,439836508,37,,450749066,-0.012492356764443605,449874744.3333333
2025-03,표준형_어린이,3024605,-0.1425699035612097,2328243.6666666665,381339379,-0.023046763667903373,381297614.6666667,79483,0.15692521843708224,384713534,-0.024187710533800744,383860173.6666667
2025-03,표준형_치매간병,1138139,-0.3325776000756241,1144256,65409286,-0.004575172758020212,65413553.333333336,0,,94571642,0.35866541133194474,94490641
2025-03,무저해지형_질병보험,37289305,0.4507620319201608,27286605.333333332,594724632,0.5850036783949153,577785145,0,,633401177,0.5737938428094335,605834217.3333334
2025-03,무저해지형_상해,17201898,0.38888887767493835,12568855.333333334,266117026,0.24352231016676276,261292007.66666666,0,,284078486,0.24958509863087996,274422243.3333333
2025-03,무저해지형_어린이,5642636,0.04798058279137011,4124760,230550068,0.007353479174643665,229155248.33333334,0,,236214168,0.00828324593548845,233293732.66666666
2025-03,무저해지형_치매간병,1261831,0.5216488605483962,1079972.6666666667,37550061,-0.11453391827519116,36751513,0,,47142543,-0.24937084648024438,42970388.666666664
2025-04,원리금보장형장기손해보험합계,93319253,0.2322726090887567,94460613,5829993498,0.062117738457934446,5810816990,3989723,13.591173738452424,6014151445,0.07596462520062652,5997503446.666667
2025-04,개인보험,92858734,0.23300905036467146,93963421.33333333,5807260717,0.06246945790151889,5787883892,3989723,13.591173738452424,5990682327,0.07636909906943135,5973760942.333333
2025-04,보장성보험,92751446,0.28367028149502366,93810058.66666667,5783856905,0.06544954881531075,5763449065.666667,97608,-0.765025349183193,5907427748,0.06949179601474538,5899926256.666667
2025-04,저축성보험,107288,-0.9648901885735379,153362.66666666666,23403812,-0.3717800212792303,24434826.333333332,3892115,-28.416211152123072,83254579,0.9796369219810812,73834685.66666667
2025-04,단체보험,460519,0.09981777929562026,497191.6666666667,22732781,-0.020698429289915735,22933098,0,,23469118,-0.018208708644514023,23742504.333333332
2025-04,표준형,43375131,-0.15731414145966932,41825861,4602055483,-0.008013195217489754,4611139350.333333,97608,-0.765025349183193,4669759993,-0.010849468902232954,4688074289
2025-04,무저해지환급형,49376315,1.3758713080484486,51984197.666666664,1181801422,0.49722180996306875,1152309715.3333333,0,,1237667755,0.5420655460418501,1211851967.6666667
